Profiling results:
------------------

Executable name: D:\GitHub\VisualFBEditor\Controls\MyFbFramework\examples\Grid\Grid Example.exe
Launched on: 02-09-2025, 11:50:06
Total program execution time: 300.9 seconds


Per function results:

        Function:                                                                         Count:       Time:    Total%:    Proc%:
        SHOULDAPPSUSEDARKMODE                                                                  1     0.00000      0.00%     0.66%
        ALLOWDARKMODEFORAPP                                                                    1     0.00000      0.00%     0.14%

SETFOCUS                                                                                       1     0.00362      0.00%

        CALLWINDOWPROC                                                                         9     0.00215      0.00%    59.20%
        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                          9     0.00018      0.00%     4.89%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                          9     0.00003      0.00%     0.78%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                       9     0.00001      0.00%     0.15%
        GETWINDOWLONGPTR                                                                       9     0.00000      0.00%     0.07%
        FB_WSTRCOMPARE                                                                         9     0.00000      0.00%     0.06%

SETTITLEBARTHEMECOLOR                                                                          1     0.00012      0.00%

        {fbfp}FiP6HWND__P27WINDOWCOMPOSITIONATTRIBDATAE$1                                      1     0.00012      0.00%    99.48%

SETWINDOWPOS                                                                                   1     0.01619      0.01%

        DEFWINDOWPROC                                                                          4     0.01222      0.00%    75.49%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_50F0ER7MESSAGE@8                                          5     0.00209      0.00%    12.88%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                       5     0.00000      0.00%     0.01%
        GETWINDOWLONGPTR                                                                       5     0.00000      0.00%     0.01%
        FB_WSTRCOMPARE                                                                         5     0.00000      0.00%     0.01%

SETWINDOWTEXTW                                                                                 5     0.00191      0.00%

        CALLWINDOWPROC                                                                         5     0.00172      0.00%    89.85%
        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                          5     0.00016      0.00%     8.45%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                          5     0.00001      0.00%     0.62%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                       5     0.00000      0.00%     0.19%
        FB_WSTRCOMPARE                                                                         5     0.00000      0.00%     0.04%
        GETWINDOWLONGPTR                                                                       5     0.00000      0.00%     0.03%

SETWINDOWTHEME                                                                                 1     0.00139      0.00%

        __ZN2MY3SYS5FORMS7CONTROL7Lt_50F0ER7MESSAGE@8                                          7     0.00036      0.00%    25.64%
        DEFWINDOWPROC                                                                          7     0.00001      0.00%     0.69%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                       7     0.00000      0.00%     0.17%
        FB_WSTRCOMPARE                                                                         7     0.00000      0.00%     0.07%
        GETWINDOWLONGPTR                                                                       7     0.00000      0.00%     0.05%

SHOULDAPPSUSEDARKMODE                                                                          1     0.00000      0.00%

        {fbfp}FivE$1                                                                           1     0.00000      0.00%    42.86%

SNDMSG                                                                                         2     0.00004      0.00%

        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                          2     0.00001      0.00%    36.76%
        CALLWINDOWPROC                                                                         2     0.00001      0.00%    34.45%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                          2     0.00000      0.00%     4.37%
